match_id,round,group,date,time,team1,team2,status,ft1,ft2,ht1,ht2,ground,goals1,goals2
65,Matchday 17,Group K,2026-06-27,19:30 UTC-4,Colombia,Portugal,played,0,0,0,0,Miami (Miami Gardens),,
66,Matchday 17,Group K,2026-06-27,19:30 UTC-4,DR Congo,Uzbekistan,played,3,1,0,1,Atlanta,Yoane Wissa 68'(P); Fiston Mayele 78'; Yoane Wissa 90+1',Eldor Shomurodov 10'
67,Matchday 7,Group L,2026-06-17,15:00 UTC-5,England,Croatia,played,4,2,2,2,Dallas (Arlington),Harry Kane 12'(P); Harry Kane 42'; Jude Bellingham 47'; Marcus Rashford 85',Martin Baturina 36'; Petar Musa 45+5'
68,Matchday 7,Group L,2026-06-17,19:00 UTC-4,Ghana,Panama,played,1,0,0,0,Toronto,Caleb Yirenkyi 90+5',
69,Matchday 13,Group L,2026-06-23,16:00 UTC-4,England,Ghana,played,0,0,0,0,Boston (Foxborough),,
70,Matchday 13,Group L,2026-06-23,19:00 UTC-4,Panama,Croatia,played,0,1,0,0,Toronto,,Ante Budimir 54'
71,Matchday 17,Group L,2026-06-27,17:00 UTC-4,Panama,England,played,0,2,0,0,New York/New Jersey (East Rutherford),,Jude Bellingham 62'; Harry Kane 67'
72,Matchday 17,Group L,2026-06-27,17:00 UTC-4,Croatia,Ghana,played,2,1,1,0,Philadelphia,Petar Sucic 31'; Nikola Vlasic 83',Derrick Luckassen 73'
73,Round of 32,,2026-06-28,12:00 UTC-7,South Africa,Canada,upcoming,,,,,Los Angeles (Inglewood),,
74,Round of 32,,2026-06-29,16:30 UTC-4,Germany,Paraguay,upcoming,,,,,Boston (Foxborough),,
75,Round of 32,,2026-06-29,19:00 UTC-6,Netherlands,Morocco,upcoming,,,,,Monterrey (Guadalupe),,
76,Round of 32,,2026-06-29,12:00 UTC-5,Brazil,Japan,upcoming,,,,,Houston,,
77,Round of 32,,2026-06-30,17:00 UTC-4,France,Sweden,upcoming,,,,,New York/New Jersey (East Rutherford),,
78,Round of 32,,2026-06-30,12:00 UTC-5,Ivory Coast,Norway,upcoming,,,,,Dallas (Arlington),,
79,Round of 32,,2026-06-30,19:00 UTC-6,Mexico,Ecuador,upcoming,,,,,Mexico City,,
80,Round of 32,,2026-07-01,12:00 UTC-4,England,DR Congo,upcoming,,,,,Atlanta,,
81,Round of 32,,2026-07-01,17:00 UTC-7,USA,Bosnia & Herzegovina,upcoming,,,,,San Francisco Bay Area (Santa Clara),,
82,Round of 32,,2026-07-01,13:00 UTC-7,Belgium,Senegal,upcoming,,,,,Seattle,,
83,Round of 32,,2026-07-02,19:00 UTC-4,Portugal,Croatia,upcoming,,,,,Toronto,,
84,Round of 32,,2026-07-02,12:00 UTC-7,Spain,Austria,upcoming,,,,,Los Angeles (Inglewood),,
85,Round of 32,,2026-07-02,20:00 UTC-7,Switzerland,Algeria,upcoming,,,,,Vancouver,,
86,Round of 32,,2026-07-03,18:00 UTC-4,Argentina,Cape Verde,upcoming,,,,,Miami (Miami Gardens),,
